lead_id,mql_source,bombora_surge_topic,lead_score,campaign_name,lead_status
LEAD-1618,Paid Social,Cloud Migration,31,Q4 Growth,New
LEAD-1619,Whitepaper,Payment Processing,99,Q3 Innovation,Qualified
LEAD-1620,Paid Social,DevOps Tools,65,Q2 Growth,Working
LEAD-1621,Email Campaign,Cybersecurity,100,Q1 Efficiency,Working
LEAD-1622,Direct Mail,Cybersecurity,74,Q1 Innovation,Qualified
LEAD-1623,Organic Search,Cybersecurity,35,Q1 Security,Working
LEAD-1624,Organic Search,Data Privacy,62,Q3 Efficiency,New
LEAD-1625,Trade Show,Payment Processing,47,Q1 Transformation,Qualified
LEAD-1626,Whitepaper,Data Privacy,18,Q3 Growth,New
LEAD-1627,Organic Search,AI Automation,72,FY Security,New
LEAD-1628,Webinar,Cloud Migration,44,FY Efficiency,New
LEAD-1629,Webinar,Payment Processing,37,Q4 Security,New
LEAD-1630,Referral,Fraud Prevention,76,FY Efficiency,Nurturing
LEAD-1631,Direct Mail,AI Automation,53,Q4 Efficiency,Qualified
LEAD-1632,Email Campaign,ERP Integration,97,Q3 Growth,Nurturing
LEAD-1633,Organic Search,ERP Integration,95,Q3 Transformation,Qualified
LEAD-1634,Webinar,ERP Integration,52,Q1 Innovation,New
LEAD-1635,Direct Mail,IoT Platforms,99,Q3 Transformation,Working
LEAD-1636,Webinar,Fraud Prevention,25,Q4 Security,Nurturing
LEAD-1637,Organic Search,ERP Integration,67,Q4 Efficiency,Qualified
LEAD-1638,Referral,Customer Experience,34,Q1 Growth,Nurturing
LEAD-1639,Webinar,Customer Experience,56,Q1 Security,Nurturing
LEAD-1640,Direct Mail,Unified Communications,87,Q4 Growth,Qualified
LEAD-1641,Whitepaper,ERP Integration,64,Q4 Growth,New
LEAD-1642,Referral,Data Privacy,87,Q2 Security,Working
LEAD-1643,Webinar,Cybersecurity,73,Q1 Transformation,Nurturing
LEAD-1644,Direct Mail,Cybersecurity,67,Q1 Innovation,Qualified
LEAD-1645,Organic Search,Unified Communications,37,Q2 Growth,New
LEAD-1646,Whitepaper,CRM Software,13,Q2 Growth,Nurturing
LEAD-1647,Referral,Big Data Analytics,45,Q2 Transformation,Nurturing
LEAD-1648,Direct Mail,Supply Chain Management,95,Q1 Innovation,Working
LEAD-1649,Direct Mail,Payment Processing,98,Q3 Growth,Working
LEAD-1650,Whitepaper,Customer Experience,53,Q3 Transformation,Qualified
LEAD-1651,Referral,Big Data Analytics,39,Q2 Transformation,Nurturing
LEAD-1652,Whitepaper,Data Privacy,21,Q1 Innovation,New
LEAD-1653,Email Campaign,DevOps Tools,85,Q2 Security,New
LEAD-1654,Email Campaign,Cybersecurity,50,Q3 Transformation,New
LEAD-1655,Paid Social,Cloud Migration,85,Q4 Transformation,Working
LEAD-1656,Referral,CRM Software,50,FY Efficiency,Nurturing
LEAD-1657,Trade Show,Network Security,94,Q4 Efficiency,Working
LEAD-1658,Whitepaper,CRM Software,11,Q4 Transformation,Qualified
LEAD-1659,Email Campaign,Cybersecurity,47,Q2 Transformation,Qualified
LEAD-1660,Direct Mail,Cybersecurity,86,Q2 Efficiency,Working
LEAD-1661,Webinar,Fraud Prevention,50,Q2 Efficiency,New
LEAD-1662,Paid Social,IoT Platforms,100,Q4 Innovation,Qualified
LEAD-1663,Organic Search,AI Automation,47,FY Transformation,Qualified
LEAD-1664,Webinar,Big Data Analytics,52,Q1 Efficiency,Working
LEAD-1665,Organic Search,DevOps Tools,16,FY Efficiency,Working
LEAD-1666,Direct Mail,DevOps Tools,60,Q2 Efficiency,Working
LEAD-1667,Webinar,Network Security,60,Q3 Growth,Qualified
LEAD-1668,Direct Mail,ERP Integration,60,Q3 Transformation,New
LEAD-1669,Paid Social,Data Privacy,99,Q2 Security,Qualified
LEAD-1670,Whitepaper,Cybersecurity,51,FY Efficiency,New
LEAD-1671,Paid Social,AI Automation,93,Q2 Growth,Working
LEAD-1672,Direct Mail,DevOps Tools,71,Q2 Efficiency,Working
LEAD-1673,Organic Search,Unified Communications,35,FY Innovation,New
LEAD-1674,Email Campaign,DevOps Tools,83,Q1 Innovation,Working
LEAD-1675,Referral,CRM Software,96,Q2 Growth,New
LEAD-1676,Whitepaper,ERP Integration,70,Q2 Growth,New
LEAD-1677,Whitepaper,Network Security,93,Q3 Growth,Qualified
LEAD-1678,Trade Show,Customer Experience,61,Q2 Transformation,New
LEAD-1679,Whitepaper,Unified Communications,60,Q4 Growth,Nurturing
LEAD-1680,Trade Show,Customer Experience,58,FY Efficiency,New
LEAD-1681,Direct Mail,IoT Platforms,93,Q3 Transformation,Nurturing
LEAD-1682,Direct Mail,ERP Integration,11,Q1 Innovation,New
LEAD-1683,Whitepaper,Payment Processing,72,FY Growth,Working
LEAD-1684,Webinar,Fraud Prevention,83,Q4 Innovation,Qualified
LEAD-1685,Paid Social,DevOps Tools,22,Q4 Innovation,Working
LEAD-1686,Referral,AI Automation,92,FY Transformation,Qualified
LEAD-1687,Paid Social,Fraud Prevention,26,Q1 Innovation,Nurturing
LEAD-1688,Whitepaper,DevOps Tools,78,Q2 Growth,Qualified
LEAD-1689,Webinar,CRM Software,81,Q4 Transformation,Qualified
LEAD-1690,Whitepaper,Network Security,84,Q4 Transformation,New
LEAD-1691,Organic Search,Customer Experience,25,Q2 Growth,Working
LEAD-1692,Webinar,Network Security,67,Q3 Growth,New
LEAD-1693,Webinar,Cybersecurity,83,Q2 Security,Working
LEAD-1694,Whitepaper,Network Security,42,FY Efficiency,New
LEAD-1695,Whitepaper,Payment Processing,74,Q2 Efficiency,Nurturing
LEAD-1696,Trade Show,CRM Software,94,Q1 Growth,Working
LEAD-1697,Paid Social,Cloud Migration,76,Q2 Efficiency,Qualified
LEAD-1698,Trade Show,Fraud Prevention,72,FY Transformation,Nurturing
LEAD-1699,Email Campaign,Fraud Prevention,78,Q4 Security,Working
LEAD-1700,Whitepaper,Customer Experience,15,Q2 Transformation,New
LEAD-1701,Organic Search,Cybersecurity,48,Q2 Security,Working
LEAD-1702,Organic Search,Fraud Prevention,55,Q2 Innovation,Working
LEAD-1703,Referral,Payment Processing,80,Q2 Innovation,Nurturing
LEAD-1704,Referral,Customer Experience,30,Q3 Transformation,Qualified
LEAD-1705,Whitepaper,Data Privacy,96,Q3 Innovation,Working
LEAD-1706,Organic Search,Payment Processing,90,FY Innovation,Nurturing
LEAD-1707,Organic Search,DevOps Tools,57,Q4 Innovation,Working
LEAD-1708,Referral,IoT Platforms,29,Q3 Growth,Qualified
LEAD-1709,Referral,Cloud Migration,87,Q2 Transformation,New
LEAD-1710,Paid Social,Payment Processing,78,Q1 Innovation,Qualified
LEAD-1711,Whitepaper,ERP Integration,91,Q1 Transformation,Nurturing
LEAD-1712,Email Campaign,Big Data Analytics,44,Q1 Efficiency,Working
LEAD-1713,Paid Social,Cloud Migration,22,Q3 Transformation,Working
LEAD-1714,Referral,Payment Processing,25,Q2 Growth,Nurturing
LEAD-1715,Direct Mail,Payment Processing,77,Q3 Security,Nurturing
LEAD-1716,Paid Social,Fraud Prevention,22,Q1 Security,Working
LEAD-1717,Email Campaign,Big Data Analytics,59,Q2 Growth,Nurturing
LEAD-1718,Referral,AI Automation,85,Q1 Efficiency,Nurturing
LEAD-1719,Webinar,Customer Experience,75,FY Transformation,Working
LEAD-1720,Trade Show,Cybersecurity,58,Q4 Innovation,Nurturing
LEAD-1721,Webinar,Supply Chain Management,91,Q3 Security,Working
LEAD-1722,Referral,DevOps Tools,68,Q2 Growth,Qualified
LEAD-1723,Email Campaign,Big Data Analytics,69,Q4 Security,Nurturing
LEAD-1724,Paid Social,CRM Software,76,FY Transformation,Working
LEAD-1725,Paid Social,Customer Experience,21,Q2 Efficiency,Qualified
LEAD-1726,Email Campaign,IoT Platforms,21,FY Growth,New
LEAD-1727,Whitepaper,DevOps Tools,40,Q1 Transformation,Working
LEAD-1728,Webinar,Payment Processing,46,Q4 Transformation,Qualified
LEAD-1729,Webinar,CRM Software,96,Q4 Security,Working
LEAD-1730,Direct Mail,AI Automation,75,FY Security,New
LEAD-1731,Referral,Cloud Migration,88,Q2 Security,New
LEAD-1732,Referral,DevOps Tools,78,FY Innovation,Nurturing
LEAD-1733,Organic Search,DevOps Tools,94,Q4 Security,New
LEAD-1734,Direct Mail,Cybersecurity,96,FY Efficiency,Working
LEAD-1735,Trade Show,Payment Processing,56,Q1 Efficiency,Nurturing
LEAD-1736,Webinar,CRM Software,73,Q3 Transformation,Working
LEAD-1737,Email Campaign,Payment Processing,53,FY Security,Working
LEAD-1738,Whitepaper,Data Privacy,48,Q4 Growth,Nurturing
LEAD-1739,Paid Social,Unified Communications,10,FY Innovation,Qualified
LEAD-1740,Organic Search,Supply Chain Management,49,FY Growth,New
LEAD-1741,Direct Mail,Supply Chain Management,89,Q4 Growth,New
LEAD-1742,Email Campaign,Cloud Migration,88,Q3 Efficiency,Nurturing
LEAD-1743,Paid Social,ERP Integration,23,Q1 Growth,Nurturing
LEAD-1744,Trade Show,CRM Software,55,Q1 Growth,New
LEAD-1745,Referral,AI Automation,35,Q1 Transformation,Working
LEAD-1746,Referral,Payment Processing,72,Q1 Growth,Working
LEAD-1747,Paid Social,Unified Communications,70,Q3 Transformation,Nurturing
LEAD-1748,Paid Social,ERP Integration,64,Q2 Growth,Nurturing
LEAD-1749,Whitepaper,AI Automation,94,Q3 Efficiency,Working
LEAD-1750,Trade Show,ERP Integration,65,Q1 Growth,Nurturing
LEAD-1751,Organic Search,Payment Processing,34,Q2 Efficiency,New
LEAD-1752,Trade Show,CRM Software,63,FY Innovation,Nurturing
LEAD-1753,Webinar,Cybersecurity,95,Q2 Security,Qualified
LEAD-1754,Paid Social,Payment Processing,63,Q4 Growth,Qualified
LEAD-1755,Trade Show,ERP Integration,61,Q4 Security,Qualified
LEAD-1756,Trade Show,Payment Processing,23,Q1 Growth,Working
LEAD-1757,Trade Show,ERP Integration,74,Q1 Growth,Working
LEAD-1758,Webinar,Customer Experience,53,Q3 Innovation,New
LEAD-1759,Referral,AI Automation,47,Q2 Efficiency,Qualified
LEAD-1760,Whitepaper,Big Data Analytics,64,Q2 Transformation,Working
LEAD-1761,Trade Show,Unified Communications,45,FY Efficiency,New
LEAD-1762,Paid Social,DevOps Tools,41,FY Security,Qualified
LEAD-1763,Organic Search,AI Automation,100,Q1 Innovation,Working
LEAD-1764,Organic Search,IoT Platforms,85,FY Growth,Working
LEAD-1765,Organic Search,Payment Processing,26,Q3 Transformation,New
LEAD-1766,Paid Social,Unified Communications,28,Q3 Innovation,New
LEAD-1767,Organic Search,Payment Processing,16,Q3 Transformation,Qualified
LEAD-1768,Paid Social,DevOps Tools,91,Q2 Transformation,Working
LEAD-1769,Email Campaign,CRM Software,71,Q1 Security,Qualified
LEAD-1770,Webinar,Data Privacy,24,Q2 Innovation,Nurturing
LEAD-1771,Paid Social,ERP Integration,63,Q2 Transformation,Nurturing
LEAD-1772,Webinar,Cybersecurity,15,Q1 Growth,New
LEAD-1773,Email Campaign,Unified Communications,46,Q4 Growth,Nurturing
LEAD-1774,Whitepaper,CRM Software,33,Q2 Innovation,Qualified
LEAD-1775,Email Campaign,ERP Integration,48,Q1 Innovation,New
LEAD-1776,Webinar,Customer Experience,80,FY Efficiency,Working
LEAD-1777,Email Campaign,ERP Integration,56,FY Innovation,Nurturing
LEAD-1778,Organic Search,Customer Experience,45,Q2 Security,Qualified
LEAD-1779,Whitepaper,Supply Chain Management,23,Q1 Efficiency,New
LEAD-1780,Webinar,Fraud Prevention,93,Q2 Security,Working
LEAD-1781,Direct Mail,Supply Chain Management,22,Q1 Transformation,Nurturing
LEAD-1782,Paid Social,DevOps Tools,70,FY Efficiency,Working
LEAD-1783,Trade Show,Cloud Migration,26,Q2 Security,Qualified
LEAD-1784,Paid Social,Supply Chain Management,81,Q3 Security,Nurturing
LEAD-1785,Direct Mail,Customer Experience,25,Q3 Innovation,New
LEAD-1786,Direct Mail,CRM Software,77,Q4 Security,New
LEAD-1787,Trade Show,Fraud Prevention,45,FY Transformation,Working
LEAD-1788,Paid Social,Cloud Migration,82,Q1 Security,Working
LEAD-1789,Referral,AI Automation,97,Q4 Transformation,New
LEAD-1790,Trade Show,AI Automation,75,Q3 Transformation,Qualified
LEAD-1791,Referral,Fraud Prevention,44,Q2 Security,Working
LEAD-1792,Webinar,Cybersecurity,83,Q2 Security,New
LEAD-1793,Direct Mail,Network Security,100,FY Innovation,Nurturing
LEAD-1794,Paid Social,IoT Platforms,38,Q2 Efficiency,Nurturing
LEAD-1795,Whitepaper,Cybersecurity,38,Q1 Security,Working
LEAD-1796,Paid Social,Cloud Migration,91,Q1 Efficiency,Nurturing
LEAD-1797,Trade Show,Data Privacy,16,FY Growth,Working
LEAD-1798,Organic Search,Network Security,24,Q1 Growth,Nurturing
LEAD-1799,Email Campaign,ERP Integration,20,FY Transformation,Nurturing
LEAD-1800,Trade Show,CRM Software,88,Q2 Efficiency,Nurturing
LEAD-1801,Webinar,Customer Experience,11,Q3 Security,Working
LEAD-1802,Paid Social,Cybersecurity,42,Q1 Growth,New
LEAD-1803,Referral,Customer Experience,42,FY Growth,Working
LEAD-1804,Direct Mail,Unified Communications,51,Q2 Innovation,Working
LEAD-1805,Referral,Cybersecurity,67,Q2 Transformation,Qualified
LEAD-1806,Email Campaign,Cybersecurity,71,Q1 Transformation,Qualified
LEAD-1807,Trade Show,AI Automation,33,Q2 Growth,Working
LEAD-1808,Direct Mail,DevOps Tools,33,FY Growth,Nurturing
LEAD-1809,Webinar,Data Privacy,30,Q2 Growth,Qualified
LEAD-1810,Organic Search,Payment Processing,28,Q1 Transformation,Qualified
LEAD-1811,Organic Search,AI Automation,92,Q3 Transformation,New
LEAD-1812,Trade Show,DevOps Tools,11,Q4 Efficiency,New
LEAD-1813,Referral,CRM Software,12,Q1 Innovation,New
LEAD-1814,Webinar,Cybersecurity,41,FY Efficiency,New
LEAD-1815,Paid Social,Cybersecurity,90,Q4 Efficiency,New
LEAD-1816,Webinar,Big Data Analytics,23,Q4 Transformation,Nurturing
LEAD-1817,Whitepaper,Unified Communications,27,Q4 Growth,Qualified
LEAD-1818,Trade Show,Data Privacy,52,Q4 Growth,Working
LEAD-1819,Organic Search,Cloud Migration,79,FY Transformation,Nurturing
LEAD-1820,Whitepaper,Cloud Migration,15,Q1 Innovation,Nurturing
LEAD-1821,Whitepaper,Network Security,63,Q1 Efficiency,New
LEAD-1822,Organic Search,Cloud Migration,39,Q3 Innovation,Qualified
LEAD-1823,Trade Show,ERP Integration,93,Q2 Efficiency,Working
LEAD-1824,Referral,Customer Experience,24,Q4 Growth,Working
LEAD-1825,Whitepaper,Unified Communications,23,Q2 Efficiency,Nurturing
LEAD-1826,Whitepaper,Fraud Prevention,52,Q1 Innovation,Nurturing
LEAD-1827,Whitepaper,Supply Chain Management,15,Q4 Efficiency,Working
LEAD-1828,Trade Show,CRM Software,77,Q3 Growth,Working
LEAD-1829,Referral,Cybersecurity,95,FY Security,Nurturing
LEAD-1830,Paid Social,ERP Integration,23,Q2 Innovation,Qualified
LEAD-1831,Email Campaign,Supply Chain Management,43,FY Transformation,New
LEAD-1832,Webinar,IoT Platforms,29,FY Efficiency,Working
LEAD-1833,Email Campaign,Cybersecurity,59,Q3 Efficiency,Qualified
LEAD-1834,Whitepaper,Payment Processing,83,Q3 Innovation,Nurturing
LEAD-1835,Trade Show,Payment Processing,51,Q1 Efficiency,Working
LEAD-1836,Referral,ERP Integration,50,Q4 Growth,Qualified
LEAD-1837,Direct Mail,DevOps Tools,62,Q4 Efficiency,Nurturing
LEAD-1838,Trade Show,Big Data Analytics,93,Q2 Transformation,Qualified
LEAD-1839,Referral,Network Security,73,Q4 Transformation,Qualified
LEAD-1840,Organic Search,CRM Software,20,Q4 Innovation,Qualified
LEAD-1841,Organic Search,DevOps Tools,21,Q2 Transformation,Nurturing
LEAD-1842,Webinar,Unified Communications,12,Q3 Security,Qualified
LEAD-1843,Trade Show,Supply Chain Management,24,Q1 Security,Nurturing
LEAD-1844,Email Campaign,IoT Platforms,27,Q2 Efficiency,Qualified
LEAD-1845,Trade Show,IoT Platforms,80,Q3 Innovation,Working
LEAD-1846,Organic Search,IoT Platforms,38,Q1 Security,Working
LEAD-1847,Whitepaper,DevOps Tools,100,Q1 Efficiency,Qualified
LEAD-1848,Webinar,DevOps Tools,64,Q3 Security,New
LEAD-1849,Whitepaper,Customer Experience,84,Q1 Transformation,Qualified
LEAD-1850,Trade Show,Cloud Migration,28,Q3 Security,Working
LEAD-1851,Whitepaper,Unified Communications,19,Q1 Growth,Qualified
LEAD-1852,Trade Show,Big Data Analytics,33,Q4 Growth,Working
LEAD-1853,Paid Social,AI Automation,62,FY Innovation,Nurturing
LEAD-1854,Direct Mail,Big Data Analytics,92,FY Transformation,New
LEAD-1855,Paid Social,Payment Processing,29,Q1 Security,New
LEAD-1856,Trade Show,Network Security,30,Q1 Growth,Qualified
LEAD-1857,Referral,Customer Experience,68,Q4 Transformation,Nurturing
LEAD-1858,Paid Social,DevOps Tools,39,Q3 Innovation,Working
LEAD-1859,Paid Social,Payment Processing,76,Q3 Transformation,Working
LEAD-1860,Organic Search,CRM Software,89,Q1 Security,Working
LEAD-1861,Referral,Cybersecurity,81,Q4 Efficiency,New
LEAD-1862,Direct Mail,AI Automation,50,FY Growth,Qualified
LEAD-1863,Referral,Cybersecurity,16,Q3 Security,Qualified
LEAD-1864,Organic Search,Data Privacy,23,Q1 Innovation,New
LEAD-1865,Email Campaign,Fraud Prevention,52,Q1 Growth,Working
LEAD-1866,Paid Social,Cybersecurity,79,Q1 Innovation,New
LEAD-1867,Organic Search,Fraud Prevention,11,FY Efficiency,Nurturing
LEAD-1868,Organic Search,Network Security,35,FY Growth,New
LEAD-1869,Organic Search,Data Privacy,20,Q4 Innovation,New
LEAD-1870,Direct Mail,Cloud Migration,16,Q3 Growth,New
LEAD-1871,Paid Social,Cloud Migration,55,FY Efficiency,Nurturing
LEAD-1872,Referral,Network Security,34,Q3 Growth,Qualified
LEAD-1873,Email Campaign,Cybersecurity,99,FY Security,New
LEAD-1874,Email Campaign,CRM Software,74,Q1 Innovation,Working
LEAD-1875,Webinar,Fraud Prevention,58,Q4 Growth,New
LEAD-1876,Paid Social,Cybersecurity,29,FY Security,Qualified
LEAD-1877,Whitepaper,Supply Chain Management,90,Q1 Transformation,Working
LEAD-1878,Organic Search,Big Data Analytics,97,FY Growth,Working
LEAD-1879,Trade Show,Network Security,76,FY Innovation,Nurturing
LEAD-1880,Direct Mail,Big Data Analytics,26,Q3 Growth,Nurturing
LEAD-1881,Email Campaign,Fraud Prevention,65,Q1 Security,Qualified
LEAD-1882,Organic Search,Unified Communications,88,Q4 Efficiency,New
LEAD-1883,Trade Show,Fraud Prevention,90,Q4 Growth,New
LEAD-1884,Webinar,Cybersecurity,49,Q4 Transformation,New
LEAD-1885,Direct Mail,Payment Processing,68,Q3 Growth,Working
LEAD-1886,Paid Social,Cybersecurity,18,Q2 Innovation,Nurturing
LEAD-1887,Email Campaign,Payment Processing,19,Q2 Growth,Qualified
LEAD-1888,Paid Social,AI Automation,42,FY Efficiency,Qualified
LEAD-1889,Trade Show,Payment Processing,82,Q4 Growth,New
LEAD-1890,Email Campaign,IoT Platforms,46,Q3 Transformation,Qualified
LEAD-1891,Trade Show,AI Automation,56,Q4 Security,Nurturing
LEAD-1892,Email Campaign,Payment Processing,97,Q3 Innovation,Qualified
LEAD-1893,Paid Social,Supply Chain Management,97,Q1 Security,New
LEAD-1894,Organic Search,DevOps Tools,81,Q1 Growth,Working
LEAD-1895,Whitepaper,Data Privacy,58,Q2 Growth,Qualified
LEAD-1896,Whitepaper,Unified Communications,59,Q3 Efficiency,New
LEAD-1897,Email Campaign,AI Automation,69,FY Growth,Qualified
LEAD-1898,Whitepaper,Payment Processing,33,FY Innovation,New
LEAD-1899,Referral,Big Data Analytics,65,Q2 Security,Qualified
LEAD-1900,Email Campaign,Payment Processing,50,Q3 Growth,Qualified
LEAD-1901,Organic Search,DevOps Tools,70,Q1 Innovation,Nurturing
LEAD-1902,Direct Mail,Cloud Migration,79,Q1 Efficiency,Qualified
LEAD-1903,Trade Show,Customer Experience,37,Q3 Growth,New
LEAD-1904,Referral,Cloud Migration,56,Q3 Innovation,Qualified
LEAD-1905,Organic Search,Cloud Migration,37,Q1 Growth,Qualified
LEAD-1906,Paid Social,Data Privacy,91,Q2 Growth,New
LEAD-1907,Trade Show,Payment Processing,45,Q3 Transformation,New
LEAD-1908,Paid Social,IoT Platforms,67,Q3 Innovation,Working
LEAD-1909,Paid Social,Cybersecurity,16,Q1 Transformation,Qualified
LEAD-1910,Email Campaign,Big Data Analytics,48,Q2 Growth,Working
LEAD-1911,Email Campaign,CRM Software,71,Q4 Growth,Working
LEAD-1912,Referral,ERP Integration,98,Q4 Innovation,Qualified
LEAD-1913,Webinar,Network Security,86,Q2 Security,New
LEAD-1914,Trade Show,ERP Integration,95,FY Innovation,Nurturing
LEAD-1915,Webinar,Cybersecurity,68,Q1 Efficiency,Qualified
LEAD-1916,Email Campaign,Payment Processing,96,Q3 Innovation,Nurturing
LEAD-1917,Webinar,AI Automation,26,FY Growth,Qualified
LEAD-1918,Whitepaper,Cloud Migration,37,FY Innovation,Working
LEAD-1919,Referral,DevOps Tools,79,FY Efficiency,Working
LEAD-1920,Referral,Unified Communications,54,Q2 Security,Working
LEAD-1921,Webinar,ERP Integration,56,Q1 Growth,Nurturing
LEAD-1922,Paid Social,Network Security,25,FY Transformation,Qualified
LEAD-1923,Direct Mail,CRM Software,62,Q3 Security,Nurturing
LEAD-1924,Referral,Network Security,52,Q1 Innovation,Working
LEAD-1925,Direct Mail,CRM Software,57,Q2 Growth,Working
LEAD-1926,Referral,CRM Software,46,FY Security,Qualified
LEAD-1927,Paid Social,DevOps Tools,89,Q1 Innovation,New
LEAD-1928,Whitepaper,Payment Processing,93,Q1 Growth,Qualified
LEAD-1929,Whitepaper,AI Automation,89,Q4 Transformation,New
LEAD-1930,Direct Mail,Network Security,84,Q1 Security,Nurturing
LEAD-1931,Referral,Unified Communications,38,FY Efficiency,Qualified
LEAD-1932,Referral,Payment Processing,35,Q4 Growth,New
LEAD-1933,Email Campaign,Big Data Analytics,69,Q3 Innovation,Qualified
LEAD-1934,Webinar,ERP Integration,38,Q4 Security,Nurturing
LEAD-1935,Paid Social,Supply Chain Management,94,Q2 Innovation,Nurturing
LEAD-1936,Referral,Customer Experience,40,Q1 Growth,Qualified
LEAD-1937,Webinar,Cloud Migration,13,Q1 Efficiency,Nurturing
LEAD-1938,Email Campaign,ERP Integration,31,Q4 Innovation,Qualified
LEAD-1939,Organic Search,Network Security,60,Q2 Security,Qualified
LEAD-1940,Webinar,Big Data Analytics,83,Q3 Innovation,Working
LEAD-1941,Referral,DevOps Tools,32,Q3 Transformation,Nurturing
LEAD-1942,Trade Show,CRM Software,39,Q1 Innovation,Working
LEAD-1943,Whitepaper,Customer Experience,83,Q3 Transformation,Nurturing
LEAD-1944,Trade Show,ERP Integration,36,Q1 Transformation,New
LEAD-1945,Webinar,CRM Software,11,FY Growth,Working
LEAD-1946,Webinar,Fraud Prevention,100,Q4 Transformation,New
LEAD-1947,Referral,Cloud Migration,26,Q3 Efficiency,Nurturing
LEAD-1948,Trade Show,Unified Communications,93,Q2 Transformation,Nurturing
LEAD-1949,Organic Search,Network Security,41,FY Innovation,Qualified
LEAD-1950,Paid Social,Customer Experience,16,Q2 Innovation,New
LEAD-1951,Trade Show,Customer Experience,12,FY Growth,New
LEAD-1952,Whitepaper,AI Automation,86,Q1 Innovation,New
LEAD-1953,Trade Show,Data Privacy,43,Q2 Growth,New
LEAD-1954,Whitepaper,AI Automation,56,Q2 Security,Qualified
LEAD-1955,Whitepaper,AI Automation,12,Q3 Innovation,New
LEAD-1956,Direct Mail,Customer Experience,19,Q2 Security,Qualified
LEAD-1957,Referral,Supply Chain Management,50,FY Growth,Qualified
LEAD-1958,Trade Show,Cybersecurity,48,Q1 Growth,Working
LEAD-1959,Webinar,Payment Processing,53,Q3 Security,Qualified
LEAD-1960,Webinar,Cybersecurity,76,FY Innovation,Nurturing
LEAD-1961,Whitepaper,Unified Communications,87,Q1 Growth,New
LEAD-1962,Trade Show,Unified Communications,56,Q1 Innovation,Working
LEAD-1963,Webinar,ERP Integration,27,Q2 Transformation,New
LEAD-1964,Trade Show,Data Privacy,45,Q4 Growth,Working
LEAD-1965,Whitepaper,ERP Integration,100,Q4 Transformation,Nurturing
LEAD-1966,Direct Mail,DevOps Tools,73,Q3 Innovation,Qualified
LEAD-1967,Organic Search,Data Privacy,32,Q2 Security,Nurturing
LEAD-1968,Referral,Payment Processing,84,FY Efficiency,Nurturing
LEAD-1969,Trade Show,Big Data Analytics,36,FY Innovation,Qualified
LEAD-1970,Referral,Supply Chain Management,67,Q3 Innovation,Nurturing
LEAD-1971,Email Campaign,Fraud Prevention,23,Q4 Efficiency,Qualified
LEAD-1972,Referral,Unified Communications,82,Q3 Security,Nurturing
LEAD-1973,Whitepaper,AI Automation,31,Q1 Security,Nurturing
LEAD-1974,Referral,Data Privacy,87,FY Growth,Nurturing
LEAD-1975,Referral,Cloud Migration,24,Q2 Growth,Nurturing
LEAD-1976,Referral,Big Data Analytics,33,Q3 Security,Working
LEAD-1977,Whitepaper,Unified Communications,94,Q3 Security,Nurturing
LEAD-1978,Trade Show,Big Data Analytics,50,Q1 Innovation,New
LEAD-1979,Email Campaign,DevOps Tools,11,FY Transformation,Nurturing
LEAD-1980,Organic Search,AI Automation,82,Q3 Growth,Working
LEAD-1981,Whitepaper,CRM Software,46,Q4 Efficiency,Working
LEAD-1982,Organic Search,Payment Processing,81,Q2 Innovation,New
LEAD-1983,Referral,Customer Experience,65,Q3 Growth,Nurturing
LEAD-1984,Organic Search,Unified Communications,16,Q4 Growth,Qualified
LEAD-1985,Webinar,Data Privacy,63,Q1 Innovation,New
LEAD-1986,Direct Mail,Cybersecurity,86,Q3 Growth,Qualified
LEAD-1987,Organic Search,Fraud Prevention,12,Q2 Efficiency,New
LEAD-1988,Webinar,Supply Chain Management,69,Q2 Efficiency,Working
LEAD-1989,Referral,Cloud Migration,78,Q4 Security,New
LEAD-1990,Email Campaign,Customer Experience,12,Q1 Transformation,Qualified
LEAD-1991,Whitepaper,IoT Platforms,63,FY Innovation,Nurturing
LEAD-1992,Paid Social,ERP Integration,54,Q3 Transformation,New
LEAD-1993,Email Campaign,AI Automation,88,Q1 Security,Qualified
LEAD-1994,Paid Social,DevOps Tools,68,Q4 Growth,New
LEAD-1995,Email Campaign,Fraud Prevention,23,Q1 Growth,Working
LEAD-1996,Webinar,IoT Platforms,11,Q1 Efficiency,New
LEAD-1997,Email Campaign,IoT Platforms,98,FY Innovation,Qualified
LEAD-1998,Organic Search,Cybersecurity,21,Q2 Security,Nurturing
LEAD-1999,Webinar,Supply Chain Management,98,Q1 Security,Nurturing
LEAD-2000,Webinar,Payment Processing,16,Q2 Efficiency,New
LEAD-2001,Paid Social,ERP Integration,98,Q4 Efficiency,Qualified
LEAD-2002,Paid Social,DevOps Tools,31,Q1 Efficiency,Qualified
LEAD-2003,Whitepaper,Cybersecurity,50,Q1 Efficiency,Qualified
LEAD-2004,Direct Mail,Customer Experience,25,Q4 Security,Working
LEAD-2005,Direct Mail,Customer Experience,72,Q2 Innovation,Nurturing
LEAD-2006,Direct Mail,Unified Communications,21,Q2 Innovation,Nurturing
LEAD-2007,Whitepaper,ERP Integration,81,Q2 Transformation,Working
LEAD-2008,Whitepaper,Payment Processing,73,Q1 Security,Working
LEAD-2009,Webinar,Customer Experience,37,Q3 Efficiency,Qualified
LEAD-2010,Organic Search,AI Automation,23,Q3 Growth,Working
